"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Albania","CLS - National Child Labour Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2010",0.642,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Argentina","CLS - Survey on the Activities of Children and Youth","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 12-14","2017",3.277,,,"Repository: ILO-STATISTICS - Micro data processing"
"Argentina","CLS - Survey on the Activities of Children and Youth","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2017",1.065,,,"Repository: ILO-STATISTICS - Micro data processing"
"Argentina","CLS - Survey on the Activities of Children and Youth","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 12-14","2017",3.127,,,"Repository: ILO-STATISTICS - Micro data processing"
"Argentina","CLS - Survey on the Activities of Children and Youth","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2017",1.512,,,"Repository: ILO-STATISTICS - Micro data processing"
"Argentina","CLS - Survey on the Activities of Children and Youth","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 12-14","2017",3.429,,,"Repository: ILO-STATISTICS - Micro data processing"
"Argentina","CLS - Survey on the Activities of Children and Youth","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2017",0.58,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2020",0.948,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2020",1.083,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2020",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","CLS - National Child Labour Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2015",0.927,,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","CLS - National Child Labour Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2015",1.644,,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","CLS - National Child Labour Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2015",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-17","2020",56.627,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-11","2020",79.894,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 12-14","2020",25.701,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2020",19.238,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-17","2020",54.441,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-11","2020",78.598,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 12-14","2020",20.488,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2020",15.837,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-17","2020",58.851,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-11","2020",81.241,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 12-14","2020",31.128,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2020",22.365,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-17","2017",30.83,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-11","2017",36.711,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 12-14","2017",35.63,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2017",4.04,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-17","2017",29.552,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-11","2017",35.629,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 12-14","2017",33.254,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2017",3.989,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-17","2017",32.086,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-11","2017",37.798,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 12-14","2017",37.774,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2017",4.093,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-17","2018",24.81,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-11","2018",28.845,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 12-14","2018",26.924,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2018",6.91,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-17","2018",23.601,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-11","2018",27.637,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 12-14","2018",23.336,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2018",8.881,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-17","2018",26.001,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-11","2018",30.041,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 12-14","2018",30.318,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2018",4.911,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-17","2010",34.92,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-11","2010",38.149,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 12-14","2010",49.288,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-17","2010",36.293,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-11","2010",40.991,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 12-14","2010",48.978,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-17","2010",33.472,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-11","2010",35.091,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 12-14","2010",49.584,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-17","2019",6.762,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-11","2019",5.78,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 12-14","2019",8.821,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2019",6.885,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-17","2019",8.808,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-11","2019",6.922,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 12-14","2019",10.581,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2019",11.226,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-17","2019",4.647,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-11","2019",4.625,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 12-14","2019",7.103,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2019",1.882,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belize","CLS - Child Activity Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2013",6.316,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belize","CLS - Child Activity Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2013",10.022,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belize","CLS - Child Activity Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2013",2.402,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2022",2.271,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2022",3.166,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2022",1.343,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2016",2.348,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2016",3.514,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2016",1.134,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2010",1.537,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2010",1.464,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2010",1.618,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-17","2019",35.156,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-11","2019",46.133,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 12-14","2019",22.869,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2019",2.174,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-17","2019",33.4,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-11","2019",43.955,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 12-14","2019",21.735,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2019",1.924,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-17","2019",37.036,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-11","2019",48.463,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 12-14","2019",24.049,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2019",2.455,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-17","2010",25.272,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-11","2010",28.031,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 12-14","2010",31.289,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2010",5.299,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-17","2010",24.168,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-11","2010",26.798,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 12-14","2010",27.781,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2010",6.777,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-17","2010",26.385,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-11","2010",29.304,,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 12-14","2010",34.876,,,"Repository: ILO-STATISTICS - Micro data processing"
