Country,Sex,Value,Time
Argentina, Female,17.848,2022
Argentina, Male,13.767,2021
Argentina, Female,18.558,2021
Argentina, Male,21.004,2020
Argentina, Female,23.67,2020
Argentina, Male,16.833,2019
Argentina, Female,21.694,2019
Argentina, Male,15.527,2018
Argentina, Female,22.49,2018
Argentina, Male,15.777,2017
Argentina, Female,22.781,2017
Argentina, Male,15.141,2014
Argentina, Female,24.511,2014
Argentina, Male,14.376,2013
Argentina, Female,23.999,2013
Argentina, Male,13.779,2012
Argentina, Female,23.096,2012
Argentina, Male,13.888,2011
Argentina, Female,22.978,2011
Argentina, Male,14.727,2010
Argentina, Female,24.223,2010
Argentina, Male,15.8,2009
Argentina, Female,24.338,2009
Argentina, Male,14.517,2008
Argentina, Female,24.432,2008
Argentina, Male,14.252,2006
Argentina, Female,24.756,2006
Argentina, Male,15.315,2005
Argentina, Female,24.461,2005
Argentina, Male,16.102,2004
Argentina, Female,25.818,2004
Armenia, Male,18.16,2021
Armenia, Female,25.142,2021
Armenia, Male,21.117,2020
Armenia, Female,30.601,2020
Armenia, Male,21.206,2019
Armenia, Female,29.165,2019
Armenia, Male,18.689,2018
Armenia, Female,29.647,2018
Armenia, Male,35.722,2017
Armenia, Female,37.528,2017
Armenia, Male,35.393,2016
Armenia, Female,37.83,2016
Armenia, Male,36.35,2015
Armenia, Female,34.797,2015
Armenia, Male,37.522,2014
Armenia, Female,38.493,2014
Armenia, Male,27.23,2013
Armenia, Female,41.611,2013
Armenia, Male,27.156,2012
Armenia, Female,40.85,2012
Armenia, Male,29.988,2011
Armenia, Female,43.364,2011
Armenia, Male,29.481,2010
Armenia, Female,45.271,2010
Armenia, Male,34.122,2009
Armenia, Female,42.101,2009
Armenia, Male,33.281,2008
Armenia, Female,41.942,2008
Armenia, Male,31.125,2007
Armenia, Female,44.868,2007
Antigua and Barbuda, Male,18.236,2023
Antigua and Barbuda, Female,17.486,2023
Antigua and Barbuda, Male,17.982,2018
Antigua and Barbuda, Female,23.551,2018
Australia, Male,9.066,2024
Australia, Female,7.957,2024
Australia, Male,8.085,2023
Australia, Female,7.729,2023
Australia, Male,8.713,2022
Australia, Female,8.046,2022
Australia, Male,10.083,2021
Australia, Female,8.408,2021
Australia, Male,11.698,2020
Australia, Female,9.656,2020
Australia, Male,9.373,2019
Australia, Female,9.349,2019
Australia, Male,8.725,2018
Australia, Female,10.146,2018
Australia, Male,8.89,2017
Australia, Female,8.96,2017
Australia, Male,8.42,2016
Australia, Female,9.06,2016
Australia, Male,9.45,2015
Australia, Female,10.2,2015
Australia, Male,9.73,2014
Australia, Female,10.5,2014
Australia, Male,10.22,2013
Australia, Female,11.77,2013
Australia, Male,9.44,2012
Australia, Female,10.4,2012
Australia, Male,9.48,2011
Australia, Female,11.74,2011
Australia, Male,10.8,2010
Australia, Female,11.85,2010
Australia, Male,10.29,2009
Australia, Female,12.58,2009
Austria, Male,15.189,2023
Austria, Female,10.912,2023
Austria, Male,14.061,2022
Austria, Female,10.136,2022
Austria, Male,14.073,2021
Austria, Female,10.343,2021
Austria, Male,14.206,2020
Austria, Female,8.504,2020
Austria, Male,12.723,2019
Austria, Female,9.221,2019
Austria, Male,12.013,2018
Austria, Female,8.752,2018
Austria, Male,13.188,2017
Austria, Female,7.541,2017
Austria, Male,12.601,2016
Austria, Female,9.108,2016
Austria, Male,12.971,2015
Austria, Female,9.007,2015
Austria, Male,12.639,2014
Austria, Female,8.803,2014
Austria, Male,11.964,2013
Austria, Female,8.654,2013
Austria, Male,11.926,2012
Austria, Female,8.323,2012
Austria, Male,12.533,2011
Austria, Female,8.517,2011
Austria, Male,12.635,2010
Austria, Female,8.88,2010
Austria, Male,13.302,2009
Austria, Female,10.099,2009
Austria, Male,11.485,2008
Austria, Female,9.211,2008
Austria, Male,12.181,2007
Austria, Female,9.185,2007
Austria, Male,12.95,2006
Austria, Female,9.434,2006
Austria, Male,13.493,2005
Austria, Female,10.137,2005
Austria, Male,9.79,2004
Austria, Female,9.492,2004
Austria, Male,6.706,2003
Austria, Female,7.795,2003
Austria, Male,6.033,2002
Austria, Female,6.152,2002
Austria, Male,7.885,2001
Austria, Female,8.288,2001
Austria, Male,7.32,2000
Austria, Female,8.519,2000
Azerbaijan, Male,6.96,2010
Azerbaijan, Female,12.39,2010
Azerbaijan, Male,7.11,2009
Azerbaijan, Female,11.71,2009
Burundi, Male,11.458,2020
Burundi, Female,10.942,2020
Burundi, Male,6.44,2017
Burundi, Female,5.98,2017
Burundi, Male,5.176,2014
Burundi, Female,4.978,2014
Burundi, Male,10.614,2006
Burundi, Female,11.866,2006
Belgium, Male,7.962,2023
Belgium, Female,5.523,2023
Belgium, Male,7.869,2022
Belgium, Female,6.316,2022
Belgium, Male,7.602,2021
Belgium, Female,5.669,2021
Belgium, Male,10.445,2020
Belgium, Female,9.525,2020
Belgium, Male,9.762,2019
Belgium, Female,8.719,2019
Belgium, Male,9.59,2018
Belgium, Female,10.021,2018
Belgium, Male,10.265,2017
Belgium, Female,9.431,2017
Belgium, Male,10.055,2016
Belgium, Female,9.712,2016
Belgium, Male,12.537,2015
Belgium, Female,11.816,2015
Belgium, Male,12.584,2014
Belgium, Female,11.492,2014
Belgium, Male,13.243,2013
Belgium, Female,12.101,2013
Belgium, Male,12.505,2012
Belgium, Female,12.181,2012
Belgium, Male,11.609,2011
Belgium, Female,12.025,2011
Belgium, Male,10.786,2010
Belgium, Female,10.946,2010
Belgium, Male,10.492,2009
Belgium, Female,11.684,2009
Belgium, Male,9.194,2008
Belgium, Female,11.099,2008
Belgium, Male,10.187,2007
Belgium, Female,12.168,2007
Belgium, Male,10.161,2006
Belgium, Female,12.358,2006
Belgium, Male,12.488,2005
Belgium, Female,13.561,2005
Belgium, Male,8.278,2004
Belgium, Female,8.821,2004
Belgium, Male,9.67,2003
Belgium, Female,11.009,2003
Belgium, Male,9.429,2002
Belgium, Female,10.136,2002
Belgium, Male,7.71,2001
Belgium, Female,10.448,2001
Belgium, Male,7.509,2000
Belgium, Female,10.627,2000
Benin, Male,11.766,2022
Benin, Female,16.746,2022
Benin, Male,12.982,2019
Benin, Female,18.639,2019
Benin, Male,11.2,2013
Benin, Female,36.86,2013
Benin, Male,10.892,2011
Benin, Female,23.18,2011
Burkina Faso, Male,27.038,2023
Burkina Faso, Female,39.517,2023
Burkina Faso, Male,11.201,2022
Burkina Faso, Female,24.505,2022
Burkina Faso, Male,8.401,2019
Burkina Faso, Female,17.754,2019
Burkina Faso, Male,30.454,2018
Burkina Faso, Female,49.099,2018
Bangladesh, Male,10.472,2022
Bangladesh, Female,19.131,2022
Bangladesh, Male,9.811,2017
Bangladesh, Female,44.55,2017
Bangladesh, Male,9.97,2016
Bangladesh, Female,46.99,2016
Bangladesh, Male,21.136,2013
Bangladesh, Female,42.088,2013
Bangladesh, Male,14.5,2010
Bangladesh, Female,44.911,2010
Bangladesh, Male,7.292,2006
Bangladesh, Female,58.93,2006
Bangladesh, Male,6.71,2005
Bangladesh, Female,56.92,2005
Bulgaria, Male,11.458,2023
Bulgaria, Female,10.829,2023
Bulgaria, Male,11.286,2022
Bulgaria, Female,13.883,2022
Bulgaria, Male,13.212,2021
Bulgaria, Female,13.942,2021
Bulgaria, Male,14.166,2020
Bulgaria, Female,15.273,2020
Bulgaria, Male,13.301,2019
Bulgaria, Female,13.803,2019
Bulgaria, Male,11.995,2018
Bulgaria, Female,15.796,2018
Bulgaria, Male,13.745,2017
Bulgaria, Female,18.071,2017
Bulgaria, Male,16.831,2016
Bulgaria, Female,19.642,2016
Bulgaria, Male,17.799,2015
Bulgaria, Female,19.186,2015
Bulgaria, Male,19.534,2014
Bulgaria, Female,20.89,2014
Bulgaria, Male,21.267,2013
Bulgaria, Female,20.623,2013
Bulgaria, Male,21.715,2012
Bulgaria, Female,21.463,2012
Bulgaria, Male,22.417,2011
Bulgaria, Female,22.381,2011
Bulgaria, Male,20.565,2010
Bulgaria, Female,21.757,2010
Bulgaria, Male,17.433,2009
Bulgaria, Female,22.309,2009
Bulgaria, Male,14.964,2008
Bulgaria, Female,18.715,2008
Bulgaria, Male,17.726,2007
Bulgaria, Female,20.621,2007
Bulgaria, Male,19.894,2006
Bulgaria, Female,24.658,2006
Bulgaria, Male,23.659,2005
Bulgaria, Female,26.479,2005
Bulgaria, Male,22.905,2004
Bulgaria, Female,25.868,2004
Bulgaria, Male,27.519,2003
Bulgaria, Female,29.067,2003
Bulgaria, Male,28.147,2002
Bulgaria, Female,26.614,2002
Bulgaria, Male,29.557,2001
Bulgaria, Female,29.818,2001
Bosnia and Herzegovina, Male,16.909,2023
Bosnia and Herzegovina, Female,14.996,2023
Bosnia and Herzegovina, Male,17.193,2022
Bosnia and Herzegovina, Female,18.08,2022
Bosnia and Herzegovina, Male,18.773,2021
Bosnia and Herzegovina, Female,19.866,2021
Bosnia and Herzegovina, Male,20.412,2020
Bosnia and Herzegovina, Female,23.272,2020
Bosnia and Herzegovina, Male,22.501,2019
Bosnia and Herzegovina, Female,22.718,2019
Bosnia and Herzegovina, Male,23.006,2018
Bosnia and Herzegovina, Female,22.154,2018
Bosnia and Herzegovina, Male,25.857,2017
Bosnia and Herzegovina, Female,25.084,2017
Bosnia and Herzegovina, Male,28.598,2016
Bosnia and Herzegovina, Female,25.383,2016
Bosnia and Herzegovina, Male,29.944,2015
Bosnia and Herzegovina, Female,26.539,2015
Bosnia and Herzegovina, Male,29.052,2014
Bosnia and Herzegovina, Female,24.917,2014
Bosnia and Herzegovina, Male,28.235,2013
Bosnia and Herzegovina, Female,24.868,2013
Bosnia and Herzegovina, Male,31.186,2012
Bosnia and Herzegovina, Female,26.626,2012
Bosnia and Herzegovina, Male,29.786,2011
Bosnia and Herzegovina, Female,26.687,2011
Bosnia and Herzegovina, Male,28.847,2010
Bosnia and Herzegovina, Female,28.604,2010
Bosnia and Herzegovina, Male,26.836,2009
Bosnia and Herzegovina, Female,26.403,2009
Bosnia and Herzegovina, Male,26.163,2008
Bosnia and Herzegovina, Female,28.733,2008
Bosnia and Herzegovina, Male,32.239,2007
Bosnia and Herzegovina, Female,32.481,2007
Bosnia and Herzegovina, Male,34.744,2006
Bosnia and Herzegovina, Female,36.269,2006
Bosnia and Herzegovina, Male,30.426,2001
Bosnia and Herzegovina, Female,34.591,2001
Belarus, Male,5.168,2022
Belarus, Female,5.13,2022
Belarus, Male,6.086,2021
Belarus, Female,4.836,2021
Belarus, Male,7.761,2020
Belarus, Female,5.764,2020
Belarus, Male,8.07,2019
Belarus, Female,5.654,2019
Belarus, Male,6.9,2018
Belarus, Female,5.466,2018
Belarus, Male,7.601,2017
Belarus, Female,6.595,2017
Belarus, Male,8.529,2016
Belarus, Female,7.55,2016
Belarus, Male,10.5,2009
Belarus, Female,13.76,2009
Belize, Male,14.698,2019
Belize, Female,34.817,2019
Belize, Male,13.508,2018
Belize, Female,35.469,2018
Belize, Male,14.854,2017
Belize, Female,39.51,2017
Belize, Male,15.033,2016
Belize, Female,39.354,2016
Belize, Male,14.016,2015
Belize, Female,40.986,2015
Belize, Male,14.704,2014
Belize, Female,40.417,2014
Belize, Male,14.108,2013
Belize, Female,41.572,2013
Belize, Male,10.141,2012
Belize, Female,13.72,2012
Bermuda, Male,8.18,2010
Bermuda, Female,5.48,2010
Bolivia (Plurinational State of), Male,5.656,2023
Bolivia (Plurinational State of), Female,13.593,2023
Bolivia (Plurinational State of), Male,5.665,2022
Bolivia (Plurinational State of), Female,14.288,2022
Bolivia (Plurinational State of), Male,6.939,2021
Bolivia (Plurinational State of), Female,14.98,2021
Bolivia (Plurinational State of), Male,9.434,2020
Bolivia (Plurinational State of), Female,17.894,2020
Bolivia (Plurinational State of), Male,4.314,2019
Bolivia (Plurinational State of), Female,16.145,2019
Bolivia (Plurinational State of), Male,4.108,2018
Bolivia (Plurinational State of), Female,17.548,2018
Bolivia (Plurinational State of), Male,5.014,2017
Bolivia (Plurinational State of), Female,18.083,2017
Bolivia (Plurinational State of), Male,4.704,2016
Bolivia (Plurinational State of), Female,16.479,2016
Bolivia (Plurinational State of), Male,6.785,2015
Bolivia (Plurinational State of), Female,22.183,2015
Bolivia (Plurinational State of), Male,3.756,2014
Bolivia (Plurinational State of), Female,18.274,2014
Bolivia (Plurinational State of), Male,4.12,2013
Bolivia (Plurinational State of), Female,16.405,2013
Bolivia (Plurinational State of), Male,3.418,2012
Bolivia (Plurinational State of), Female,17.006,2012
Bolivia (Plurinational State of), Male,4.122,2011
Bolivia (Plurinational State of), Female,17.472,2011
Bolivia (Plurinational State of), Male,3.299,2009
Bolivia (Plurinational State of), Female,14.868,2009
Bolivia (Plurinational State of), Male,4.005,2008
Bolivia (Plurinational State of), Female,14.881,2008
Bolivia (Plurinational State of), Male,4.115,2007
Bolivia (Plurinational State of), Female,17.581,2007
Bolivia (Plurinational State of), Male,3.855,2006
Bolivia (Plurinational State of), Female,17.71,2006
Bolivia (Plurinational State of), Male,5.458,2005
Bolivia (Plurinational State of), Female,18.338,2005
Bolivia (Plurinational State of), Male,5.441,2004
Bolivia (Plurinational State of), Female,20.452,2004
Bolivia (Plurinational State of), Male,12.255,2002
Bolivia (Plurinational State of), Female,30.079,2002
Bolivia (Plurinational State of), Male,14.867,2001
Bolivia (Plurinational State of), Female,30.676,2001
Bolivia (Plurinational State of), Male,5.609,2000
Bolivia (Plurinational State of), Female,22.228,2000
Brazil, Male,14.509,2024
Brazil, Female,24.299,2024
Brazil, Male,15.927,2023
Brazil, Female,25.469,2023
Brazil, Male,16.25,2022
Brazil, Female,25.825,2022
Brazil, Male,18.627,2021
Brazil, Female,28.272,2021
Brazil, Male,20.879,2020
Brazil, Female,31.251,2020
Brazil, Male,18.643,2019
Brazil, Female,29.471,2019
Brazil, Male,19.302,2018
Brazil, Female,30.047,2018
Brazil, Male,19.362,2017
Brazil, Female,30.491,2017
Brazil, Male,18.125,2016
Brazil, Female,29.589,2016
Brazil, Male,15.74,2015
Brazil, Female,28.581,2015
Brazil, Male,14.318,2014
Brazil, Female,27.153,2014
Brazil, Male,14.484,2013
Brazil, Female,27.383,2013
Brazil, Male,13.966,2012
Brazil, Female,27.19,2012
Brazil, Male,13.015,2011
Brazil, Female,25.882,2011
Brazil, Male,12.36,2009
Brazil, Female,25.303,2009
Brazil, Male,11.885,2008
Brazil, Female,25.007,2008
Brazil, Male,12.143,2007
Brazil, Female,26.364,2007
Brazil, Male,12.032,2006
Brazil, Female,26.409,2006
Brazil, Male,11.821,2005
Brazil, Female,26.416,2005
Brazil, Male,11.66,2004
Brazil, Female,26.333,2004
Brazil, Male,11.891,2003
Brazil, Female,26.774,2003
Brazil, Male,11.934,2002
Brazil, Female,26.547,2002
Brazil, Male,11.354,2001
Brazil, Female,27.809,2001
Barbados, Male,32.151,2016
Barbados, Female,25.882,2016
Brunei Darussalam, Male,14.356,2023
Brunei Darussalam, Female,18.913,2023
Brunei Darussalam, Male,19.191,2022
Brunei Darussalam, Female,20.926,2022
Brunei Darussalam, Male,17.494,2021
Brunei Darussalam, Female,19.982,2021
Brunei Darussalam, Male,20.3,2020
Brunei Darussalam, Female,22.763,2020
Brunei Darussalam, Male,18.603,2019
Brunei Darussalam, Female,21.968,2019
Brunei Darussalam, Male,18.627,2018
Brunei Darussalam, Female,23.259,2018
Brunei Darussalam, Male,19.986,2017
Brunei Darussalam, Female,19.945,2017
Brunei Darussalam, Male,15.398,2014
Brunei Darussalam, Female,19.146,2014
Bhutan, Male,16.851,2023
Bhutan, Female,22.624,2023
Bhutan, Male,14.351,2022
Bhutan, Female,22.512,2022
Bhutan, Male,6.932,2021
Bhutan, Female,12.159,2021
Bhutan, Male,8.148,2020
Bhutan, Female,15.441,2020
Bhutan, Male,7.804,2019
Bhutan, Female,12.942,2019
Bhutan, Male,11.511,2018
Bhutan, Female,18.616,2018
Botswana, Male,34.76,2023
Botswana, Female,40.434,2023
Botswana, Male,33.705,2022
Botswana, Female,40.39,2022
Botswana, Male,30.12,2021
Botswana, Female,40.244,2021
Botswana, Male,35.063,2020
Botswana, Female,39.268,2020
Botswana, Male,29.193,2019
Botswana, Female,34.798,2019
Botswana, Male,28.785,2009
Botswana, Female,42.25,2009
Botswana, Male,36.075,2006
Botswana, Female,48.031,2006
Canada, Male,14.059,2024
Canada, Female,11.845,2024
Canada, Male,12.578,2023
Canada, Female,10.842,2023
Canada, Male,12.838,2022
Canada, Female,10.286,2022
Canada, Male,14.178,2021
Canada, Female,11.364,2021
Canada, Male,18.973,2020
Canada, Female,16.681,2020
Canada, Male,12.813,2019
Canada, Female,11.219,2019
Canada, Male,12.77,2018
Canada, Female,11.613,2018
Canada, Male,12.564,2017
Canada, Female,11.547,2017
Canada, Male,13.636,2016
Canada, Female,12.089,2016
Canada, Male,13.858,2015
Canada, Female,12.646,2015
Canada, Male,14.287,2014
Canada, Female,12.766,2014
Canada, Male,13.254,2013
Canada, Female,12.554,2013
Canada, Male,13.803,2012
Canada, Female,12.675,2012
Canada, Male,13.447,2011
Canada, Female,12.928,2011
Canada, Male,14.409,2010
Canada, Female,12.964,2010
Canada, Male,14.981,2009
Canada, Female,12.842,2009
Canada, Male,12.546,2008
Canada, Female,12.289,2008
Canada, Male,11.596,2007
Canada, Female,12.301,2007
Canada, Male,12.403,2006
Canada, Female,12.002,2006
Canada, Male,12.788,2005
Canada, Female,12.772,2005
Canada, Male,13.132,2004
Canada, Female,13.038,2004
Canada, Male,13.444,2003
Canada, Female,12.921,2003
Canada, Male,12.972,2002
Canada, Female,13.485,2002
Canada, Male,12.922,2001
Canada, Female,13.766,2001
Canada, Male,13.151,2000
Canada, Female,14.683,2000
Switzerland, Male,6.831,2023
Switzerland, Female,6.377,2023
Switzerland, Male,9.607,2022
Switzerland, Female,9.005,2022
Switzerland, Male,10.287,2021
Switzerland, Female,8.831,2021
Switzerland, Male,10.031,2020
Switzerland, Female,7.141,2020
Switzerland, Male,9.454,2019
Switzerland, Female,5.873,2019
Switzerland, Male,8.845,2018
Switzerland, Female,6.962,2018
Switzerland, Male,9.302,2017
Switzerland, Female,6.911,2017
Switzerland, Male,9.287,2016
Switzerland, Female,8.03,2016
Switzerland, Male,9.944,2015
Switzerland, Female,8.733,2015
Switzerland, Male,10.05,2014
Switzerland, Female,8.128,2014
Switzerland, Male,10.26,2013
Switzerland, Female,8.883,2013
Switzerland, Male,9.6,2012
Switzerland, Female,7.967,2012
Switzerland, Male,8.405,2011
Switzerland, Female,7.388,2011
Switzerland, Male,8.15,2010
Switzerland, Female,8.765,2010
Switzerland, Male,8.731,2009
Switzerland, Female,8.128,2009
Switzerland, Male,8.132,2008
Switzerland, Female,7.918,2008
Switzerland, Male,7.859,2007
Switzerland, Female,7.854,2007
Switzerland, Male,8.464,2006
Switzerland, Female,8.672,2006
Switzerland, Male,8.721,2005
Switzerland, Female,8.612,2005
Switzerland, Male,8.021,2004
Switzerland, Female,7.928,2004
Switzerland, Male,8.132,2003
Switzerland, Female,9.142,2003
Switzerland, Male,7.143,2002
Switzerland, Female,6.25,2002
Switzerland, Male,6.623,2001
Switzerland, Female,5.848,2001
Switzerland, Male,4.831,2000
Switzerland, Female,6.732,2000
Chile, Male,12.607,2024
Chile, Female,14.95,2024
Chile, Male,13.986,2023
Chile, Female,16.7,2023
Chile, Male,12.849,2022
Chile, Female,16.042,2022
Chile, Male,13.485,2021
Chile, Female,17.246,2021
Chile, Male,17.907,2020
Chile, Female,20.58,2020
Chile, Male,14.928,2017
Chile, Female,21.693,2017
Chile, Male,14.029,2016
Chile, Female,21.088,2016
Chile, Male,15.075,2015
Chile, Female,23.455,2015
Chile, Male,14.361,2014
Chile, Female,23.709,2014
Chile, Male,14.044,2013
Chile, Female,22.924,2013
Chile, Male,13.518,2012
Chile, Female,22.722,2012
Chile, Male,14.023,2011
Chile, Female,24.496,2011
Chile, Male,14.714,2010
Chile, Female,24.512,2010
Chile, Male,18.683,2009
Chile, Female,27.721,2009
Chile, Male,14.431,2006
Chile, Female,25.433,2006
Chile, Male,14.018,2003
Chile, Female,27.306,2003
Chile, Male,17.553,2000
Chile, Female,30.624,2000
China, Male,10.948,2000
China, Female,14.492,2000
Côte d'Ivoire, Male,12.86,2022
Côte d'Ivoire, Female,24.568,2022
Côte d'Ivoire, Male,11.878,2019
Côte d'Ivoire, Female,31.457,2019
Côte d'Ivoire, Male,25.359,2017
Côte d'Ivoire, Female,44.161,2017
Côte d'Ivoire, Male,13.636,2016
Côte d'Ivoire, Female,36.049,2016
Côte d'Ivoire, Male,10.099,2013
Côte d'Ivoire, Female,24.452,2013
Côte d'Ivoire, Male,16.668,2012
Côte d'Ivoire, Female,28.199,2012
Cameroon, Male,14.703,2021
Cameroon, Female,30.418,2021
Cameroon, Male,10.537,2014
Cameroon, Female,23.065,2014
Cameroon, Male,4.68,2010
Cameroon, Female,16.05,2010
Cameroon, Male,6.017,2007
Cameroon, Female,16.868,2007
"Congo, Democratic Republic of the", Male,28.66,2020
"Congo, Democratic Republic of the", Female,33.88,2020
"Congo, Democratic Republic of the", Male,16.431,2012
"Congo, Democratic Republic of the", Female,25.788,2012
"Congo, Democratic Republic of the", Male,13.502,2005
"Congo, Democratic Republic of the", Female,23.084,2005
Congo, Male,21.576,2009
Congo, Female,22.835,2009
Congo, Male,26.443,2005
Congo, Female,33.078,2005
Cook Islands, Male,8.329,2019
Cook Islands, Female,16.914,2019
Cook Islands, Male,15.216,2016
Cook Islands, Female,28.671,2016
Colombia, Male,16.621,2024
Colombia, Female,29.852,2024
Colombia, Male,16.648,2023
Colombia, Female,30.017,2023
Colombia, Male,17.306,2022
Colombia, Female,31.714,2022
Colombia, Male,18.743,2021
Colombia, Female,35.7,2021
Colombia, Male,16.106,2019
Colombia, Female,31.898,2019
Colombia, Male,14.827,2018
Colombia, Female,31.024,2018
Colombia, Male,13.869,2017
Colombia, Female,29.999,2017
Colombia, Male,13.66,2016
Colombia, Female,28.779,2016
Colombia, Male,12.778,2015
Colombia, Female,29.693,2015
Colombia, Male,13.76,2014
Colombia, Female,29.202,2014
Colombia, Male,13.951,2013
Colombia, Female,30.36,2013
Colombia, Male,14.074,2012
Colombia, Female,31.116,2012
Colombia, Male,14.448,2011
Colombia, Female,31.707,2011
Colombia, Male,14.9,2010
Colombia, Female,32.051,2010
Colombia, Male,15.42,2009
Colombia, Female,34.513,2009
Colombia, Male,15.764,2008
Colombia, Female,35.199,2008
Colombia, Male,16.888,2007
Colombia, Female,36.357,2007
Colombia, Male,16.906,2005
Colombia, Female,38.401,2005
Colombia, Male,18.515,2004
Colombia, Female,38.772,2004
Colombia, Male,18.153,2003
Colombia, Female,37.83,2003
Colombia, Male,19.693,2002
Colombia, Female,39.848,2002
Comoros, Male,19.606,2021
Comoros, Female,22.834,2021
Comoros, Male,21.353,2014
Comoros, Female,33.134,2014
Comoros, Male,32.926,2004
Comoros, Female,41.035,2004
Cabo Verde, Male,27.1,2019
Cabo Verde, Female,29.0,2019
Cabo Verde, Male,27.68,2018
Cabo Verde, Female,32.83,2018
Cabo Verde, Male,29.9,2017
Cabo Verde, Female,33.0,2017
Cabo Verde, Male,35.131,2009
Cabo Verde, Female,34.873,2009
Costa Rica, Male,15.61,2024
Costa Rica, Female,21.494,2024
Costa Rica, Male,18.58,2023
Costa Rica, Female,23.746,2023
Costa Rica, Male,13.596,2022
Costa Rica, Female,21.492,2022
Costa Rica, Male,16.023,2021
Costa Rica, Female,22.626,2021
Costa Rica, Male,16.403,2020
Costa Rica, Female,24.001,2020
Costa Rica, Male,14.41,2019
Costa Rica, Female,21.241,2019
Costa Rica, Male,14.387,2018
Costa Rica, Female,23.526,2018
Costa Rica, Male,15.486,2017
Costa Rica, Female,24.886,2017
Costa Rica, Male,15.898,2016
Costa Rica, Female,25.887,2016
Costa Rica, Male,13.294,2015
Costa Rica, Female,24.749,2015
Costa Rica, Male,13.869,2014
Costa Rica, Female,23.443,2014
Costa Rica, Male,12.844,2013
Costa Rica, Female,23.826,2013
Costa Rica, Male,12.752,2012
Costa Rica, Female,22.838,2012
Costa Rica, Male,15.587,2011
Costa Rica, Female,27.265,2011
Costa Rica, Male,13.677,2010
Costa Rica, Female,24.437,2010
Costa Rica, Male,12.751,2009
Costa Rica, Female,27.061,2009
Costa Rica, Male,9.594,2008
Costa Rica, Female,25.556,2008
Costa Rica, Male,8.633,2007
Costa Rica, Female,26.313,2007
Costa Rica, Male,10.13,2006
Costa Rica, Female,26.946,2006
Costa Rica, Male,9.346,2005
Costa Rica, Female,28.243,2005
Costa Rica, Male,10.589,2004
Costa Rica, Female,30.23,2004
Costa Rica, Male,12.448,2003
Costa Rica, Female,31.075,2003
Costa Rica, Male,11.535,2002
Costa Rica, Female,30.537,2002
Costa Rica, Male,12.047,2001
Costa Rica, Female,32.578,2001
Curaçao, Male,18.81,2020
Curaçao, Female,16.08,2020
Curaçao, Male,4.52,2018
Curaçao, Female,5.62,2018
Cyprus, Male,12.68,2023
Cyprus, Female,14.631,2023
Cyprus, Male,13.172,2022
Cyprus, Female,16.143,2022
Cyprus, Male,13.846,2021
Cyprus, Female,13.707,2021
Cyprus, Male,15.298,2020
Cyprus, Female,13.53,2020
Cyprus, Male,14.222,2019
Cyprus, Female,13.155,2019
Cyprus, Male,14.814,2018
Cyprus, Female,11.694,2018
Cyprus, Male,16.15,2017
Cyprus, Female,16.042,2017
Cyprus, Male,15.018,2016
Cyprus, Female,16.924,2016
Cyprus, Male,15.931,2015
Cyprus, Female,14.732,2015
