Country,Time, Female, Male
Africa: Lower-middle income,2020,29.891,15.604
Africa: Lower-middle income,2021,28.462,14.725
Africa: Lower-middle income,2022,27.483,14.12
Africa: Lower-middle income,2023,27.043,14.081
Africa: Lower-middle income,2024,26.994,14.065
Africa: Lower-middle income,2025,26.94,14.045
Africa: Lower-middle income,2026,26.894,14.029
Africa: Upper-middle income,2005,39.9,29.035
Africa: Upper-middle income,2006,38.982,27.924
Africa: Upper-middle income,2007,38.055,27.346
Africa: Upper-middle income,2008,37.561,27.406
Africa: Upper-middle income,2009,37.053,27.978
Africa: Upper-middle income,2010,37.347,28.964
Africa: Upper-middle income,2011,35.941,28.019
Africa: Upper-middle income,2012,35.441,28.053
Africa: Upper-middle income,2013,34.866,28.192
Africa: Upper-middle income,2014,34.062,27.866
Africa: Upper-middle income,2015,33.438,27.256
Africa: Upper-middle income,2016,34.179,27.747
Africa: Upper-middle income,2017,33.931,27.407
Africa: Upper-middle income,2018,34.011,28.006
Africa: Upper-middle income,2019,34.043,29.255
Africa: Upper-middle income,2020,34.073,30.042
Africa: Upper-middle income,2021,34.563,29.912
Africa: Upper-middle income,2022,36.051,31.854
Africa: Upper-middle income,2023,35.17,30.87
Africa: Upper-middle income,2024,35.145,30.794
Africa: Upper-middle income,2025,35.136,30.73
Africa: Upper-middle income,2026,35.139,30.685
Albania,2002,39.124,44.487
Albania,2005,36.243,34.139
Albania,2007,36.743,30.843
Albania,2008,30.84,25.39
Albania,2009,35.756,25.127
Albania,2010,33.711,25.838
Albania,2011,32.518,27.652
Albania,2012,29.688,25.96
Albania,2013,32.041,29.819
Albania,2014,32.646,30.168
Albania,2015,31.283,28.485
Albania,2016,27.622,27.192
Albania,2017,27.608,25.084
Albania,2018,27.772,25.531
Albania,2019,25.454,26.196
Albania,2020,26.47,27.414
Albania,2021,25.96,22.19
Albania,2022,25.656,21.727
Albania,2023,24.048,22.275
Algeria,2009,39.93,11.23
Algeria,2010,39.06,10.76
Algeria,2011,37.4,15.0
Algeria,2012,34.8,10.8
Algeria,2013,34.6,8.8
Algeria,2014,34.7,11.4
Algeria,2015,32.1,10.8
Algeria,2017,31.69,10.94
Americas,2005,25.579,12.102
Americas,2006,25.131,11.535
Americas,2007,24.66,11.549
Americas,2008,24.405,11.933
Americas,2009,24.576,13.255
Americas,2010,24.273,13.291
Americas,2011,24.217,12.78
Americas,2012,24.2,12.622
Americas,2013,24.402,12.996
Americas,2014,24.292,12.666
Americas,2015,24.293,12.683
Americas,2016,24.112,13.137
Americas,2017,23.947,12.929
Americas,2018,23.61,13.028
Americas,2019,23.043,12.988
Americas,2020,25.842,16.51
Americas,2021,23.31,14.212
Americas,2022,22.006,13.107
Americas,2023,21.342,12.834
Americas,2024,21.297,12.795
Americas,2025,21.242,12.75
Americas,2026,21.201,12.709
Americas: High income,2005,16.21,11.599
Americas: High income,2006,15.759,10.792
Americas: High income,2007,15.349,10.838
Americas: High income,2008,15.49,12.129
Americas: High income,2009,16.502,14.785
Americas: High income,2010,16.314,14.886
Americas: High income,2011,16.114,13.64
Americas: High income,2012,15.541,13.199
Americas: High income,2013,15.845,13.63
Americas: High income,2014,15.325,12.72
Americas: High income,2015,14.324,12.069
Americas: High income,2016,13.681,11.737
Americas: High income,2017,12.778,10.819
Americas: High income,2018,12.505,10.903
Americas: High income,2019,11.879,10.601
Americas: High income,2020,15.142,14.43
Americas: High income,2021,13.197,12.298
Americas: High income,2022,12.202,11.222
Americas: High income,2023,12.003,11.395
Americas: High income,2024,12.025,11.399
Americas: High income,2025,12.047,11.403
Americas: High income,2026,12.07,11.407
Americas: Lower-middle income,2005,30.454,10.303
Americas: Lower-middle income,2006,30.622,9.862
Americas: Lower-middle income,2007,30.807,10.493
Americas: Lower-middle income,2008,29.932,9.916
Americas: Lower-middle income,2009,30.168,9.938
Americas: Lower-middle income,2010,30.515,9.935
Americas: Lower-middle income,2011,30.871,10.274
Americas: Lower-middle income,2012,31.251,9.871
Americas: Lower-middle income,2013,30.484,9.7
Americas: Lower-middle income,2014,31.316,10.204
Americas: Lower-middle income,2015,32.074,10.482
Americas: Lower-middle income,2016,30.475,10.119
Americas: Lower-middle income,2017,30.833,9.936
Americas: Lower-middle income,2018,30.488,9.609
Americas: Lower-middle income,2019,29.966,9.926
Americas: Lower-middle income,2020,32.087,14.1
Americas: Lower-middle income,2021,29.787,13.042
Americas: Lower-middle income,2022,30.718,11.428
Americas: Lower-middle income,2023,29.718,11.653
Americas: Lower-middle income,2024,29.561,11.577
Americas: Lower-middle income,2025,29.26,11.368
Americas: Lower-middle income,2026,29.016,11.188
Americas: Upper-middle income,2005,30.3,12.514
Americas: Upper-middle income,2006,29.842,12.079
Americas: Upper-middle income,2007,29.314,12.033
Americas: Upper-middle income,2008,28.903,11.965
Americas: Upper-middle income,2009,28.616,12.615
Americas: Upper-middle income,2010,28.203,12.619
Americas: Upper-middle income,2011,28.192,12.472
Americas: Upper-middle income,2012,28.44,12.5
Americas: Upper-middle income,2013,28.643,12.886
Americas: Upper-middle income,2014,28.663,12.827
Americas: Upper-middle income,2015,29.132,13.207
Americas: Upper-middle income,2016,29.304,14.175
Americas: Upper-middle income,2017,29.507,14.372
Americas: Upper-middle income,2018,29.168,14.522
Americas: Upper-middle income,2019,28.683,14.618
Americas: Upper-middle income,2020,31.309,17.915
Americas: Upper-middle income,2021,28.452,15.422
Americas: Upper-middle income,2022,26.834,14.351
Americas: Upper-middle income,2023,25.984,13.783
Americas: Upper-middle income,2024,25.976,13.732
Americas: Upper-middle income,2025,25.966,13.683
Americas: Upper-middle income,2026,25.954,13.635
Angola,2004,38.344,22.371
Angola,2009,30.846,20.263
Angola,2011,12.23,7.613
Angola,2014,36.192,24.533
Angola,2019,26.341,19.64
Angola,2021,22.569,20.768
Angola,2022,26.07,23.501
Antigua and Barbuda,2018,23.551,17.982
Antigua and Barbuda,2023,17.486,18.236
Arab League,2005,49.298,19.583
Arab League,2006,49.283,19.101
Arab League,2007,48.894,18.824
Arab League,2008,48.771,18.56
Arab League,2009,48.294,17.934
Arab League,2010,49.362,17.916
Arab League,2011,47.91,18.844
Arab League,2012,47.036,18.966
Arab League,2013,46.086,18.694
Arab League,2014,45.255,18.859
Arab League,2015,44.758,19.928
Arab League,2016,44.608,20.053
Arab League,2017,44.495,20.338
Arab League,2018,44.668,20.32
Arab League,2019,45.624,20.015
Arab League,2020,47.205,22.004
Arab League,2021,45.981,21.303
Arab League,2022,45.329,20.461
Arab League,2023,45.227,20.582
Arab League,2024,45.171,20.539
Arab League,2025,45.106,20.416
Arab League,2026,45.056,20.318
Arab States,2005,52.432,19.531
Arab States,2006,52.402,19.581
Arab States,2007,52.308,19.497
Arab States,2008,51.854,19.494
Arab States,2009,51.441,18.783
Arab States,2010,51.128,18.736
Arab States,2011,50.708,18.518
Arab States,2012,50.379,18.585
Arab States,2013,50.629,18.921
Arab States,2014,50.127,18.71
Arab States,2015,49.573,19.226
Arab States,2016,48.9,19.198
Arab States,2017,48.796,19.517
Arab States,2018,48.022,19.658
Arab States,2019,47.646,19.703
Arab States,2020,48.093,22.447
Arab States,2021,46.725,21.828
Arab States,2022,46.358,20.992
Arab States,2023,46.277,21.074
Arab States,2024,46.365,21.131
Arab States,2025,46.371,20.958
Arab States,2026,46.386,20.826
Arab States: High income,2005,33.1,18.187
Arab States: High income,2006,33.475,18.345
Arab States: High income,2007,33.418,17.613
Arab States: High income,2008,33.344,17.144
Arab States: High income,2009,33.076,16.778
Arab States: High income,2010,32.38,16.323
Arab States: High income,2011,31.504,15.754
Arab States: High income,2012,30.388,14.448
Arab States: High income,2013,29.291,13.412
Arab States: High income,2014,27.886,12.219
Arab States: High income,2015,26.449,11.069
Arab States: High income,2016,24.825,9.607
Arab States: High income,2017,24.213,9.143
Arab States: High income,2018,23.097,8.106
Arab States: High income,2019,22.418,7.412
Arab States: High income,2020,24.872,12.553
Arab States: High income,2021,22.74,11.874
Arab States: High income,2022,22.282,10.674
Arab States: High income,2023,21.779,10.451
Arab States: High income,2024,21.825,10.474
Arab States: High income,2025,21.943,10.489
Arab States: High income,2026,22.052,10.496
Arab States: Low income,2005,57.252,18.97
Arab States: Low income,2006,57.424,19.005
Arab States: Low income,2007,57.6,19.345
Arab States: Low income,2008,57.551,20.388
Arab States: Low income,2009,57.206,19.349
Arab States: Low income,2010,57.277,20.109
Arab States: Low income,2011,57.227,20.564
Arab States: Low income,2012,57.551,22.646
Arab States: Low income,2013,59.469,24.239
Arab States: Low income,2014,59.906,24.145
Arab States: Low income,2015,60.301,25.809
Arab States: Low income,2016,60.312,25.944
Arab States: Low income,2017,60.236,26.123
Arab States: Low income,2018,59.989,26.066
Arab States: Low income,2019,59.794,26.154
Arab States: Low income,2020,59.961,27.474
Arab States: Low income,2021,59.661,27.2
Arab States: Low income,2022,59.395,26.917
Arab States: Low income,2023,59.272,26.948
Arab States: Low income,2024,59.146,26.94
Arab States: Low income,2025,58.943,26.738
Arab States: Low income,2026,58.753,26.537
Arab States: Lower-middle income,2005,37.522,21.427
Arab States: Lower-middle income,2006,37.794,21.414
Arab States: Lower-middle income,2007,38.61,21.167
Arab States: Lower-middle income,2008,38.492,20.553
Arab States: Lower-middle income,2009,38.699,20.258
Arab States: Lower-middle income,2010,38.889,20.729
Arab States: Lower-middle income,2011,39.164,21.33
Arab States: Lower-middle income,2012,38.645,20.823
Arab States: Lower-middle income,2013,39.228,21.339
Arab States: Lower-middle income,2014,39.515,21.691
Arab States: Lower-middle income,2015,40.498,22.791
Arab States: Lower-middle income,2016,41.135,24.164
Arab States: Lower-middle income,2017,41.283,24.671
Arab States: Lower-middle income,2018,38.517,25.765
Arab States: Lower-middle income,2019,38.739,25.468
Arab States: Lower-middle income,2020,37.905,27.518
Arab States: Lower-middle income,2021,35.634,25.494
Arab States: Lower-middle income,2022,34.175,24.869
Arab States: Lower-middle income,2023,34.242,24.83
Arab States: Lower-middle income,2024,34.283,24.83
Arab States: Lower-middle income,2025,34.256,24.708
Arab States: Lower-middle income,2026,34.233,24.593
Argentina,2004,25.818,16.102
Argentina,2005,24.461,15.315
Argentina,2006,24.756,14.252
Argentina,2008,24.432,14.517
Argentina,2009,24.338,15.8
Argentina,2010,24.223,14.727
Argentina,2011,22.978,13.888
Argentina,2012,23.096,13.779
Argentina,2013,23.999,14.376
Argentina,2014,24.511,15.141
Argentina,2017,22.781,15.777
Argentina,2018,22.49,15.527
Argentina,2019,21.694,16.833
Argentina,2020,23.67,21.004
Argentina,2021,18.558,13.767
Argentina,2022,17.848,13.994
Argentina,2023,16.734,13.397
Armenia,2007,44.868,31.125
Armenia,2008,41.942,33.281
Armenia,2009,42.101,34.122
Armenia,2010,45.271,29.481
Armenia,2011,43.364,29.988
Armenia,2012,40.85,27.156
Armenia,2013,41.611,27.23
Armenia,2014,38.493,37.522
Armenia,2015,34.797,36.35
Armenia,2016,37.83,35.393
Armenia,2017,37.528,35.722
Armenia,2018,29.647,18.689
Armenia,2019,29.165,21.206
Armenia,2020,30.601,21.117
Armenia,2021,25.142,18.16
Aruba,2010,15.64,17.4
Asia and the Pacific,2005,36.444,12.395
Asia and the Pacific,2006,36.46,12.377
Asia and the Pacific,2007,36.12,12.199
Asia and the Pacific,2008,35.7,12.149
Asia and the Pacific,2009,35.446,12.203
Asia and the Pacific,2010,34.838,11.963
Asia and the Pacific,2011,34.261,11.484
Asia and the Pacific,2012,33.727,11.159
Asia and the Pacific,2013,33.721,11.287
Asia and the Pacific,2014,33.48,11.333
Asia and the Pacific,2015,33.423,11.6
Asia and the Pacific,2016,33.459,11.77
Asia and the Pacific,2017,33.202,12.052
Asia and the Pacific,2018,32.904,12.275
Asia and the Pacific,2019,32.466,12.224
Asia and the Pacific,2020,33.698,14.772
Asia and the Pacific,2021,32.494,12.955
Asia and the Pacific,2022,31.701,11.657
Asia and the Pacific,2023,30.296,11.326
Asia and the Pacific,2024,30.364,11.332
Asia and the Pacific,2025,30.45,11.365
Asia and the Pacific,2026,30.527,11.394
Asia and the Pacific: High income,2005,9.253,8.047
Asia and the Pacific: High income,2006,8.992,7.699
Asia and the Pacific: High income,2007,8.673,7.165
Asia and the Pacific: High income,2008,8.737,7.079
Asia and the Pacific: High income,2009,9.603,7.862
Asia and the Pacific: High income,2010,9.223,7.902
Asia and the Pacific: High income,2011,9.026,7.825
Asia and the Pacific: High income,2012,8.887,7.726
Asia and the Pacific: High income,2013,8.791,7.724
Asia and the Pacific: High income,2014,8.325,7.42
Asia and the Pacific: High income,2015,8.487,7.669
Asia and the Pacific: High income,2016,8.265,7.42
Asia and the Pacific: High income,2017,7.979,7.359
Asia and the Pacific: High income,2018,7.738,7.253
Asia and the Pacific: High income,2019,7.496,7.291
Asia and the Pacific: High income,2020,8.15,8.04
Asia and the Pacific: High income,2021,7.284,7.365
Asia and the Pacific: High income,2022,6.718,6.816
Asia and the Pacific: High income,2023,6.611,6.663
Asia and the Pacific: High income,2024,6.57,6.604
Asia and the Pacific: High income,2025,6.532,6.545
Asia and the Pacific: High income,2026,6.494,6.493
Asia and the Pacific: Low income,2005,44.273,13.636
Asia and the Pacific: Low income,2006,44.713,13.709
Asia and the Pacific: Low income,2007,44.912,13.715
Asia and the Pacific: Low income,2008,45.214,13.712
Asia and the Pacific: Low income,2009,45.79,13.758
Asia and the Pacific: Low income,2010,46.118,13.883
Asia and the Pacific: Low income,2011,46.757,14.026
Asia and the Pacific: Low income,2012,47.291,13.983
Asia and the Pacific: Low income,2013,47.792,13.981
Asia and the Pacific: Low income,2014,48.141,13.959
Asia and the Pacific: Low income,2015,48.89,14.523
Asia and the Pacific: Low income,2016,49.587,15.039
Asia and the Pacific: Low income,2017,50.171,15.484
Asia and the Pacific: Low income,2018,50.436,15.374
Asia and the Pacific: Low income,2019,50.82,15.216
Asia and the Pacific: Low income,2020,57.098,25.838
Asia and the Pacific: Low income,2021,56.214,25.289
Asia and the Pacific: Low income,2022,62.125,23.399
Asia and the Pacific: Low income,2023,62.478,23.473
Asia and the Pacific: Low income,2024,62.964,23.336
Asia and the Pacific: Low income,2025,63.444,23.195
Asia and the Pacific: Low income,2026,63.909,23.045
Asia and the Pacific: Lower-middle income,2005,48.637,10.758
Asia and the Pacific: Lower-middle income,2006,48.662,10.948
Asia and the Pacific: Lower-middle income,2007,48.078,10.953
Asia and the Pacific: Lower-middle income,2008,47.297,11.015
Asia and the Pacific: Lower-middle income,2009,46.626,11.13
Asia and the Pacific: Lower-middle income,2010,45.866,11.067
Asia and the Pacific: Lower-middle income,2011,44.919,10.471
Asia and the Pacific: Lower-middle income,2012,44.211,10.481
Asia and the Pacific: Lower-middle income,2013,44.269,10.911
Asia and the Pacific: Lower-middle income,2014,44.124,11.325
Asia and the Pacific: Lower-middle income,2015,43.85,11.801
Asia and the Pacific: Lower-middle income,2016,43.749,12.288
Asia and the Pacific: Lower-middle income,2017,43.397,12.976
Asia and the Pacific: Lower-middle income,2018,43.098,13.631
Asia and the Pacific: Lower-middle income,2019,42.459,13.52
Asia and the Pacific: Lower-middle income,2020,43.513,16.383
Asia and the Pacific: Lower-middle income,2021,42.159,13.784
Asia and the Pacific: Lower-middle income,2022,40.546,11.683
Asia and the Pacific: Lower-middle income,2023,38.254,11.103
Asia and the Pacific: Lower-middle income,2024,38.356,11.101
Asia and the Pacific: Lower-middle income,2025,38.471,11.103
Asia and the Pacific: Lower-middle income,2026,38.582,11.108
Asia and the Pacific: Upper-middle income,2005,23.356,14.887
Asia and the Pacific: Upper-middle income,2006,23.22,14.622
Asia and the Pacific: Upper-middle income,2007,22.844,14.262
Asia and the Pacific: Upper-middle income,2008,22.498,14.09
Asia and the Pacific: Upper-middle income,2009,22.372,14.011
Asia and the Pacific: Upper-middle income,2010,21.577,13.517
Asia and the Pacific: Upper-middle income,2011,21.032,13.174
Asia and the Pacific: Upper-middle income,2012,20.176,12.382
Asia and the Pacific: Upper-middle income,2013,19.515,12.116
Asia and the Pacific: Upper-middle income,2014,18.508,11.656
Asia and the Pacific: Upper-middle income,2015,18.051,11.584
Asia and the Pacific: Upper-middle income,2016,17.718,11.248
Asia and the Pacific: Upper-middle income,2017,17.132,10.849
Asia and the Pacific: Upper-middle income,2018,16.377,10.343
Asia and the Pacific: Upper-middle income,2019,15.856,10.353
Asia and the Pacific: Upper-middle income,2020,16.87,12.089
Asia and the Pacific: Upper-middle income,2021,15.614,11.435
Asia and the Pacific: Upper-middle income,2022,15.825,11.52
Asia and the Pacific: Upper-middle income,2023,15.824,11.588
Asia and the Pacific: Upper-middle income,2024,15.818,11.611
Asia and the Pacific: Upper-middle income,2025,15.871,11.706
Asia and the Pacific: Upper-middle income,2026,15.932,11.787
Australia,2009,12.58,10.29
Australia,2010,11.85,10.8
Australia,2011,11.74,9.48
Australia,2012,10.4,9.44
Australia,2013,11.77,10.22
Australia,2014,10.5,9.73
Australia,2015,10.2,9.45
Australia,2016,9.06,8.42
Australia,2017,8.96,8.89
Australia,2018,10.146,8.725
Australia,2019,9.349,9.373
Australia,2020,9.656,11.698
Australia,2021,8.408,10.083
Australia,2022,8.046,8.713
Australia,2023,7.729,8.085
Australia,2024,7.957,9.066
Austria,2000,8.519,7.32
Austria,2001,8.288,7.885
Austria,2002,6.152,6.033
Austria,2003,7.795,6.706
Austria,2004,9.492,9.79
Austria,2005,10.137,13.493
Austria,2006,9.434,12.95
Austria,2007,9.185,12.181
Austria,2008,9.211,11.485
Austria,2009,10.099,13.302
Austria,2010,8.88,12.635
Austria,2011,8.517,12.533
Austria,2012,8.323,11.926
Austria,2013,8.654,11.964
Austria,2014,8.803,12.639
Austria,2015,9.007,12.971
Austria,2016,9.108,12.601
Austria,2017,7.541,13.188
Austria,2018,8.752,12.013
Austria,2019,9.221,12.723
Austria,2020,8.504,14.206
Austria,2021,10.343,14.073
Austria,2022,10.136,14.061
Austria,2023,10.912,15.189
Azerbaijan,2009,11.71,7.11
Azerbaijan,2010,12.39,6.96
BRICS,2005,34.557,12.143
BRICS,2006,34.519,12.183
BRICS,2007,34.28,11.971
BRICS,2008,34.073,11.909
BRICS,2009,34.099,11.937
BRICS,2010,33.854,11.708
BRICS,2011,32.984,11.146
BRICS,2012,32.511,10.819
BRICS,2013,32.446,11.129
BRICS,2014,32.152,11.338
BRICS,2015,32.209,11.74
BRICS,2016,32.306,12.35
BRICS,2017,32.264,12.897
BRICS,2018,31.931,13.284
BRICS,2019,31.665,13.243
BRICS,2020,32.681,15.504
BRICS,2021,31.213,12.935
BRICS,2022,30.143,11.559
BRICS,2023,28.12,11.14
BRICS,2024,28.117,11.139
BRICS,2025,28.132,11.173
BRICS,2026,28.133,11.201
Bangladesh,2005,56.92,6.71
Bangladesh,2006,58.93,7.292
Bangladesh,2010,44.911,14.5
Bangladesh,2013,42.088,21.136
Bangladesh,2016,46.99,9.97
Bangladesh,2017,44.55,9.811
Bangladesh,2022,19.131,10.472
Barbados,2016,25.882,32.151
Belarus,2009,13.76,10.5
Belarus,2016,7.55,8.529
Belarus,2017,6.595,7.601
Belarus,2018,5.466,6.9
Belarus,2019,5.654,8.07
Belarus,2020,5.764,7.761
Belarus,2021,4.836,6.086
Belarus,2022,5.13,5.168
Belgium,2000,10.627,7.509
Belgium,2001,10.448,7.71
Belgium,2002,10.136,9.429
Belgium,2003,11.009,9.67
Belgium,2004,8.821,8.278
Belgium,2005,13.561,12.488
Belgium,2006,12.358,10.161
Belgium,2007,12.168,10.187
Belgium,2008,11.099,9.194
Belgium,2009,11.684,10.492
Belgium,2010,10.946,10.786
Belgium,2011,12.025,11.609
Belgium,2012,12.181,12.505
Belgium,2013,12.101,13.243
Belgium,2014,11.492,12.584
Belgium,2015,11.816,12.537
Belgium,2016,9.712,10.055
Belgium,2017,9.431,10.265
Belgium,2018,10.021,9.59
Belgium,2019,8.719,9.762
Belgium,2020,9.525,10.445
Belgium,2021,5.669,7.602
Belgium,2022,6.316,7.869
Belgium,2023,5.523,7.962
Belize,2012,13.72,10.141
Belize,2013,41.572,14.108
Belize,2014,40.417,14.704
Belize,2015,40.986,14.016
Belize,2016,39.354,15.033
Belize,2017,39.51,14.854
Belize,2018,35.469,13.508
Belize,2019,34.817,14.698
Benin,2011,23.18,10.892
Benin,2013,36.86,11.2
Benin,2019,18.639,12.982
Benin,2022,16.746,11.766
Bermuda,2010,5.48,8.18
Bhutan,2018,18.616,11.511
Bhutan,2019,12.942,7.804
Bhutan,2020,15.441,8.148
Bhutan,2021,12.159,6.932
Bhutan,2022,22.512,14.351
Bhutan,2023,22.624,16.851
Bolivia (Plurinational State of),2000,22.228,5.609
Bolivia (Plurinational State of),2001,30.676,14.867
Bolivia (Plurinational State of),2002,30.079,12.255
Bolivia (Plurinational State of),2004,20.452,5.441
Bolivia (Plurinational State of),2005,18.338,5.458
Bolivia (Plurinational State of),2006,17.71,3.855
Bolivia (Plurinational State of),2007,17.581,4.115
Bolivia (Plurinational State of),2008,14.881,4.005
Bolivia (Plurinational State of),2009,14.868,3.299
Bolivia (Plurinational State of),2011,17.472,4.122
Bolivia (Plurinational State of),2012,17.006,3.418
Bolivia (Plurinational State of),2013,16.405,4.12
Bolivia (Plurinational State of),2014,18.274,3.756
Bolivia (Plurinational State of),2015,22.183,6.785
Bolivia (Plurinational State of),2016,16.479,4.704
Bolivia (Plurinational State of),2017,18.083,5.014
Bolivia (Plurinational State of),2018,17.548,4.108
Bolivia (Plurinational State of),2019,16.145,4.314
Bolivia (Plurinational State of),2020,17.894,9.434
Bolivia (Plurinational State of),2021,14.98,6.939
Bolivia (Plurinational State of),2022,14.288,5.665
Bolivia (Plurinational State of),2023,13.593,5.656
Bosnia and Herzegovina,2001,34.591,30.426
Bosnia and Herzegovina,2006,36.269,34.744
Bosnia and Herzegovina,2007,32.481,32.239
Bosnia and Herzegovina,2008,28.733,26.163
Bosnia and Herzegovina,2009,26.403,26.836
Bosnia and Herzegovina,2010,28.604,28.847
Bosnia and Herzegovina,2011,26.687,29.786
Bosnia and Herzegovina,2012,26.626,31.186
Bosnia and Herzegovina,2013,24.868,28.235
Bosnia and Herzegovina,2014,24.917,29.052
Bosnia and Herzegovina,2015,26.539,29.944
Bosnia and Herzegovina,2016,25.383,28.598
Bosnia and Herzegovina,2017,25.084,25.857
Bosnia and Herzegovina,2018,22.154,23.006
Bosnia and Herzegovina,2019,22.718,22.501
Bosnia and Herzegovina,2020,23.272,20.412
Bosnia and Herzegovina,2021,19.866,18.773
Bosnia and Herzegovina,2022,18.08,17.193
Bosnia and Herzegovina,2023,14.996,16.909
Botswana,2006,48.031,36.075
Botswana,2009,42.25,28.785
Botswana,2019,34.798,29.193
Botswana,2020,39.268,35.063
Botswana,2021,40.244,30.12
Botswana,2022,40.39,33.705
Botswana,2023,40.434,34.76
Brazil,2001,27.809,11.354
Brazil,2002,26.547,11.934
Brazil,2003,26.774,11.891
Brazil,2004,26.333,11.66
Brazil,2005,26.416,11.821
Brazil,2006,26.409,12.032
Brazil,2007,26.364,12.143
Brazil,2008,25.007,11.885
Brazil,2009,25.303,12.36
Brazil,2011,25.882,13.015
Brazil,2012,27.19,13.966
Brazil,2013,27.383,14.484
Brazil,2014,27.153,14.318
Brazil,2015,28.581,15.74
Brazil,2016,29.589,18.125
Brazil,2017,30.491,19.362
Brazil,2018,30.047,19.302
Brazil,2019,29.471,18.643
Brazil,2020,31.251,20.879
Brazil,2021,28.272,18.627
Brazil,2022,25.825,16.25
Brazil,2023,25.469,15.927
Brazil,2024,24.299,14.509
Brunei Darussalam,2014,19.146,15.398
Brunei Darussalam,2017,19.945,19.986
Brunei Darussalam,2018,23.259,18.627
Brunei Darussalam,2019,21.968,18.603
Brunei Darussalam,2020,22.763,20.3
Brunei Darussalam,2021,19.982,17.494
Brunei Darussalam,2022,20.926,19.191
Brunei Darussalam,2023,18.913,14.356
Bulgaria,2001,29.818,29.557
Bulgaria,2002,26.614,28.147
Bulgaria,2003,29.067,27.519
Bulgaria,2004,25.868,22.905
Bulgaria,2005,26.479,23.659
Bulgaria,2006,24.658,19.894
